x;y
-127;-125
-127;-119
-127;-119
-127;-112
-127;-109
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-127;-106
-126;-106
-125;-106
-123;-106
-122;-106
-120;-106
-120;-106
-116;-106
-114;-106
-112;-106
-108;-106
-106;-106
-103;-106
-103;-106
-100;-106
-99;-106
-97;-106
-94;-106
-94;-106
-90;-106
-89;-106
-87;-106
-83;-106
-81;-106
-77;-106
-77;-106
-73;-106
-71;-106
-69;-106
-65;-106
-65;-106
-62;-106
-60;-106
-57;-106
-56;-106
-54;-106
-53;-106
-51;-106
-48;-106
-47;-106
-45;-106
-44;-106
-41;-106
-39;-106
-36;-106
-35;-106
-35;-106
-32;-106
-31;-106
-28;-106
-26;-106
-24;-106
-23;-106
-19;-106
-18;-106
-16;-106
-15;-106
-13;-106
-10;-106
-9;-106
-6;-106
-4;-106
-3;-106
-1;-106
1;-106
2;-106
3;-106
5;-106
6;-106
8;-106
10;-106
12;-106
14;-106
16;-106
16;-106
17;-106
17;-106
17;-106
17;-106
17;-106
18;-106
20;-106
21;-106
23;-106
24;-106
26;-106
30;-106
32;-106
34;-106
37;-106
39;-106
40;-106
43;-106
44;-106
46;-106
47;-106
49;-106
52;-106
53;-106
55;-106
57;-106
62;-106
64;-106
66;-106
69;-106
72;-106
78;-106
82;-106
88;-106
91;-106
95;-106
98;-106
105;-106
108;-106
110;-106
113;-106
115;-106
118;-106
120;-106
123;-106
123;-106
123;-107
123;-108
123;-109
123;-111
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
123;-113
