x;y
-153;114
-146;114
-142;115
-134;117
-126;120
-122;121
-115;122
-108;122
-104;122
-98;122
-91;122
-88;122
-81;122
-74;122
-70;122
-63;122
-55;122
-52;122
-44;122
-37;122
-30;122
-26;122
-19;122
-14;122
0;122
8;122
13;122
23;122
32;122
37;122
44;122
53;122
57;122
63;122
66;122
73;122
79;122
83;122
89;122
96;122
99;122
105;122
112;122
115;122
125;122
131;122
138;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
141;122
