x;y
120;-116
120;-113
120;-109
120;-106
120;-103
120;-96
120;-93
120;-90
120;-87
120;-80
120;-75
120;-70
120;-66
120;-56
120;-52
120;-47
120;-42
120;-33
120;-28
120;-23
120;-20
120;-13
120;-10
120;-7
120;-3
120;3
120;7
120;10
120;14
120;22
120;27
120;31
120;36
120;45
120;49
120;53
120;56
120;63
120;66
120;69
120;72
120;78
120;81
120;84
120;87
120;91
120;93
120;95
120;97
120;102
120;105
120;107
120;110
120;115
120;117
120;120
120;122
120;127
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
