x;y
-127;128
-127;127
-127;124
-127;122
-127;117
-127;114
-127;111
-127;104
-127;101
-127;97
-127;93
-127;85
-127;80
-127;75
-127;70
-127;65
-127;56
-127;51
-127;46
-127;42
-127;32
-127;28
-127;25
-127;22
-127;15
-127;12
-127;6
-127;4
-127;1
-127;-3
-127;-5
-127;-7
-127;-9
-127;-11
-127;-15
-127;-18
-127;-20
-127;-23
-127;-28
-127;-30
-127;-33
-127;-35
-127;-40
-127;-43
-127;-45
-127;-48
-127;-53
-127;-53
-124;-59
-123;-62
-121;-65
-118;-69
-117;-71
-115;-74
-114;-76
-110;-79
-109;-79
-108;-79
-108;-79
-108;-79
-108;-81
-108;-84
-108;-91
-108;-95
-108;-98
-108;-102
-108;-112
-108;-117
-108;-121
-108;-126
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
-108;-130
