x;y
136;-124
136;-124
136;-124
136;-124
136;-124
136;-124
136;-124
136;-124
136;-124
136;-123
136;-118
136;-114
131;-105
126;-100
122;-96
113;-87
108;-82
104;-78
99;-73
95;-69
90;-68
79;-68
75;-68
71;-68
67;-68
60;-62
57;-59
53;-56
50;-52
43;-45
40;-42
37;-39
34;-35
28;-29
24;-26
21;-22
18;-19
15;-16
10;-10
8;-6
5;-3
1;5
-1;9
-5;18
-7;23
-9;25
-12;28
-14;31
-16;34
-20;39
-23;42
-27;46
-30;49
-32;51
-35;54
-37;56
-39;58
-44;62
-46;65
-49;67
-53;71
-56;73
-58;75
-62;79
-64;81
-66;83
-68;85
-70;86
-74;90
-76;91
-78;93
-80;94
-82;96
-84;97
-88;100
-92;103
-94;105
-96;106
-98;108
-102;109
-104;109
-106;109
-108;109
-109;109
-113;110
-115;112
-116;113
-118;115
-120;116
-123;118
-125;118
-127;118
-127;118
-127;118
-127;118
-127;118
-127;118
-127;118
-127;118
-127;118
-127;118
