;time;x;y;fx;fy
;63;120;-126;0;178
;126;120;-121;0;168
;189;120;-118;0;168
;252;120;-116;0;168
;315;120;-113;0;168
;378;120;-109;0;108
;441;120;-109;0;108
;504;120;-109;0;108
;567;120;-109;0;108
;630;120;-109;0;108
;693;120;-108;0;196
;756;120;-105;0;196
;819;120;-102;0;196
;882;120;-95;0;196
;945;120;-92;0;196
;1008;120;-89;0;219
;1071;120;-82;0;219
;1134;120;-79;0;219
;1197;120;-75;0;219
;1260;120;-72;0;219
;1323;120;-65;0;367
;1386;120;-62;0;367
;1449;120;-58;0;367
;1512;120;-54;0;367
;1575;120;-51;0;367
;1638;120;-43;0;366
;1701;120;-40;0;366
;1764;120;-36;0;366
;1827;120;-32;0;366
;1890;120;-25;0;366
;1953;120;-22;0;313
;2016;120;-18;0;313
;2079;120;-14;0;313
;2142;120;-7;0;313
;2205;120;-3;0;313
;2268;120;0;0;279
;2331;120;5;0;279
;2394;120;14;0;279
;2457;120;19;0;279
;2520;120;24;0;279
;2583;120;28;0;245
;2646;120;38;0;245
;2709;120;43;0;245
;2772;120;47;0;245
;2835;120;52;0;245
;2898;120;58;0;168
;2961;120;61;0;168
;3024;120;63;0;168
;3087;120;66;0;168
;3150;120;71;0;154
;3213;120;73;0;154
;3276;120;75;0;154
;3339;120;77;0;154
;3402;120;81;0;154
;3465;120;83;0;200
;3528;120;87;0;200
;3591;120;90;0;200
;3654;120;96;0;200
;3717;120;100;0;200
;3780;120;103;0;200
;3843;120;106;0;226
;3906;120;113;0;226
;3969;120;116;0;226
;4032;120;119;0;226
;4095;120;122;0;226
;4158;120;124;0;92
;4221;120;124;0;92
;4284;120;124;0;92
;4347;120;124;0;92
;4410;120;124;0;0
;4473;120;124;0;0
;4536;120;124;0;0
;4599;120;124;0;0
;4662;120;124;0;-53
;4725;120;124;0;-53
;4788;120;124;0;-53
;4851;120;124;0;-53
;4914;120;124;0;-53
;4977;120;124;0;0
;5040;120;124;0;0
;5103;120;124;0;0
;5166;120;124;0;0
;5229;120;124;0;0
;5292;120;124;0;0
;5355;120;124;0;0
;5418;120;124;0;0
;5481;120;124;0;0
;5544;120;124;0;0
;5607;120;124;0;0
;5670;120;124;0;0
;5733;120;124;0;0
;5796;120;124;0;-32
;5859;120;124;0;-32
;5922;120;124;0;-32
;5985;120;124;0;-32
;6048;120;124;-66;-32
;6111;120;124;-66;-94
;6174;120;124;-66;-94
;6237;120;124;-66;-94
;6300;120;124;-66;-94
;6363;119;124;-204;-94
;6426;113;118;-204;-250
;6489;109;114;-204;-250
;6552;106;110;-204;-250
;6615;103;106;-204;-250
;6678;95;98;-271;-174
;6741;91;95;-271;-174
;6804;86;93;-271;-174
;6867;81;90;-271;-174
;6930;72;86;-238;-174
;6993;68;83;-238;-210
;7056;65;80;-238;-210
