x;y
-69;-130
-67;-130
-63;-130
-62;-130
-60;-130
-55;-130
-48;-130
-40;-130
-37;-130
-29;-130
-22;-130
-19;-130
-8;-130
-4;-130
0;-130
6;-130
13;-130
17;-130
21;-130
24;-130
32;-130
39;-130
43;-130
50;-130
53;-130
64;-130
68;-130
72;-130
79;-130
86;-130
90;-130
94;-130
100;-130
105;-130
107;-130
110;-130
114;-130
116;-130
118;-130
121;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-130
123;-129
123;-127
123;-125
123;-123
123;-121
123;-117
123;-116
123;-116
123;-116
123;-116
