x;y
124;-120
124;-120
124;-120
124;-120
124;-120
124;-120
124;-119
124;-118
124;-117
124;-116
124;-115
124;-114
124;-113
124;-111
124;-110
124;-109
124;-109
124;-107
124;-106
124;-106
124;-105
124;-104
124;-103
124;-102
124;-101
124;-100
124;-99
124;-98
124;-98
124;-96
124;-95
124;-95
124;-94
124;-93
124;-92
124;-91
124;-91
124;-89
124;-89
124;-88
124;-87
124;-86
124;-85
124;-84
124;-84
124;-82
124;-81
124;-81
124;-80
124;-78
124;-78
124;-77
124;-76
124;-75
124;-74
124;-73
124;-73
124;-71
124;-70
124;-69
124;-68
124;-66
124;-65
124;-64
124;-63
124;-61
124;-60
124;-59
124;-58
124;-57
124;-56
124;-55
124;-54
124;-52
124;-51
124;-50
124;-49
124;-47
124;-46
124;-46
124;-45
124;-43
124;-42
124;-41
124;-40
124;-38
124;-37
124;-36
124;-35
124;-33
124;-32
124;-31
124;-30
124;-28
124;-27
124;-26
124;-25
124;-23
124;-22
124;-21
124;-20
124;-18
124;-17
124;-16
124;-15
124;-13
124;-12
124;-11
124;-10
124;-8
124;-7
124;-6
124;-5
124;-3
124;-2
124;-1
124;0
124;2
124;3
124;4
124;5
124;7
124;9
124;10
124;11
124;13
124;14
124;15
124;17
124;19
124;19
124;20
124;20
124;22
124;22
124;23
124;23
124;25
124;25
124;26
124;27
124;29
124;30
124;31
124;32
124;35
124;36
124;37
124;38
124;41
124;42
124;44
124;47
124;48
124;49
124;52
124;52
124;55
124;57
124;58
124;59
124;61
124;63
124;64
124;65
124;67
124;69
124;70
124;71
124;74
124;75
124;77
124;78
124;81
124;83
124;84
124;86
124;88
124;90
124;91
124;93
124;95
124;97
124;98
124;99
124;101
124;103
124;104
124;105
124;107
124;108
124;109
124;110
124;112
124;113
124;114
124;115
124;118
124;119
124;120
124;121
124;122
124;122
124;124
124;124
124;125
124;125
124;126
124;127
