x;y
119;127
119;127
118;127
118;127
117;127
116;127
115;127
115;127
113;127
113;127
112;127
112;127
111;127
110;127
110;127
109;127
109;127
109;127
109;127
109;127
109;127
108;127
108;127
107;127
107;127
106;126
105;125
104;125
103;125
102;125
101;125
99;125
98;125
97;124
96;123
96;123
94;121
93;120
92;119
91;118
90;115
89;114
89;112
88;111
87;109
87;107
87;106
87;105
87;103
87;101
86;99
85;97
85;95
84;94
84;93
83;91
81;88
80;87
79;87
78;86
74;85
71;85
69;84
67;83
65;82
64;82
63;81
62;80
60;79
59;78
58;78
58;77
57;76
56;74
55;72
55;71
54;68
54;67
53;66
52;63
52;63
51;61
51;60
50;59
48;58
47;58
46;57
43;56
43;56
41;55
40;54
38;53
37;52
36;51
36;50
35;48
35;48
34;47
33;46
33;45
32;43
31;42
31;41
30;40
30;40
28;39
26;37
26;37
24;36
24;35
23;35
21;33
21;32
20;31
19;31
19;30
17;28
17;27
16;26
15;24
15;24
14;22
13;21
12;20
11;18
11;17
10;16
9;14
9;13
8;13
7;12
7;11
5;9
4;9
3;8
3;7
1;6
0;5
0;4
-1;2
-2;1
-3;1
-4;0
-4;0
-6;-2
-6;-2
-7;-3
-8;-4
-9;-6
-10;-7
-10;-8
-11;-9
-12;-11
-13;-12
-14;-13
-15;-14
-16;-15
-17;-16
-18;-17
-19;-18
-21;-19
-22;-20
-24;-21
-24;-22
-26;-24
-27;-24
-27;-25
-29;-27
-29;-28
-30;-29
-31;-31
-31;-31
-32;-32
-33;-33
-33;-34
-34;-36
-35;-37
-36;-38
-36;-38
-37;-39
-39;-41
-40;-42
-41;-43
-41;-43
-43;-45
-44;-46
-45;-47
-46;-48
-48;-50
-48;-50
-49;-51
-51;-54
-52;-55
-52;-56
-53;-57
-54;-58
-55;-59
-55;-60
-56;-61
-57;-62
-58;-63
-59;-63
-60;-64
-61;-65
-62;-66
-63;-66
-63;-67
-64;-68
-66;-69
-66;-70
-67;-70
-68;-72
-69;-74
-70;-75
-70;-76
-71;-77
-72;-79
-72;-80
-73;-81
-73;-82
-74;-84
-75;-84
-77;-86
-78;-87
-78;-87
-79;-88
-80;-89
-82;-90
-83;-91
-84;-91
-85;-92
-86;-92
-88;-93
-89;-93
-90;-94
-91;-94
-93;-96
-94;-96
-95;-97
-97;-98
-98;-99
-99;-99
-100;-100
-101;-101
-103;-102
-104;-103
-104;-106
-104;-107
-104;-108
-104;-109
-104;-110
-105;-111
-106;-111
-106;-112
-108;-113
-108;-113
-108;-113
-111;-115
-112;-115
-115;-116
-116;-117
-117;-117
-117;-117
-118;-118
-119;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
-120;-118
