;time;x;y;fx;fy
;63;120;-120;0;-50
;126;120;-120;0;-50
;189;120;-120;0;73
;252;120;-120;0;73
;315;120;-120;0;73
;378;120;-120;-29;73
;441;120;-120;-29;73
;504;120;-118;-29;193
;567;120;-115;-29;193
;630;120;-111;-29;193
;693;120;-105;-26;193
;756;120;-102;-26;193
;819;120;-98;-26;193
;882;120;-95;-26;173
;945;120;-89;-26;173
;1008;120;-86;0;173
;1071;120;-83;0;173
;1134;120;-80;0;173
;1197;120;-75;0;144
;1260;120;-72;0;144
;1323;120;-70;0;144
;1386;120;-67;0;144
;1449;120;-62;0;167
;1512;120;-60;0;167
;1575;120;-57;0;167
;1638;120;-55;-29;167
;1701;120;-50;-29;167
;1764;120;-47;-29;167
;1827;120;-45;-29;170
;1890;120;-42;-29;170
;1953;120;-37;-26;170
;2016;120;-34;-26;170
;2079;120;-32;-26;170
;2142;120;-29;-26;159
;2205;120;-24;-26;159
;2268;120;-22;-30;159
;2331;120;-19;-30;159
;2394;120;-15;-30;133
;2457;120;-13;-30;133
;2520;120;-11;-30;133
;2583;120;-9;-31;133
;2646;120;-7;-31;133
;2709;120;-2;-31;140
;2772;120;0;-31;140
;2835;120;1;-31;140
;2898;120;5;-32;140
;2961;120;7;-32;140
;3024;120;9;-32;163
;3087;120;12;-32;163
;3150;120;14;-32;163
;3213;120;20;-35;163
;3276;120;22;-35;163
;3339;120;25;-35;205
;3402;120;28;-35;205
;3465;120;35;-34;205
;3528;120;38;-34;205
;3591;120;41;-34;205
;3654;120;45;-34;164
;3717;120;50;-34;164
;3780;120;52;-30;164
;3843;120;55;-30;164
;3906;120;57;-30;164
;3969;120;63;-30;186
;4032;120;66;-30;186
;4095;120;69;-30;186
;4158;120;73;-29;186
;4221;120;79;-29;186
;4284;120;82;-29;172
;4347;120;84;-29;172
;4410;120;87;-29;172
;4473;120;92;-27;172
;4536;120;95;-27;172
;4599;120;97;-27;178
;4662;120;101;-27;178
;4725;120;107;0;178
;4788;120;111;0;178
;4851;120;114;0;178
;4914;120;117;0;150
;4977;120;122;0;150
;5040;120;124;0;150
;5103;120;127;0;150
;5166;120;129;0;150
;5229;120;130;0;0
;5292;120;130;0;-38
;5355;120;130;0;-38
;5418;120;130;0;-38
;5481;120;130;0;-38
;5544;120;130;0;-38
;5607;120;130;0;-38
;5670;120;130;0;-87
;5733;120;130;0;-87
;5796;120;130;0;-87
;5859;120;130;0;-87
;5922;120;130;0;-87
;5985;115;130;-212;0
;6048;112;130;-212;0
;6111;108;130;-212;0
;6174;104;130;-212;0
;6237;97;130;-212;0
;6300;93;130;-201;0
;6363;89;130;-201;0
;6426;85;130;-201;0
;6489;78;130;-201;0
;6552;74;130;-201;0
;6615;73;127;0;-455
;6678;73;124;0;-455
;6741;76;115;151;-455
;6804;78;111;151;-455
;6867;80;107;151;-455
;6930;83;102;151;-513
;6993;85;94;0;-513
;7056;85;90;0;-513
;7119;85;87;0;-513
;7182;85;83;0;-513
;7245;79;76;-638;0
;7308;75;76;-638;0
;7371;72;76;-638;0
;7434;68;76;-638;0
;7497;60;76;-480;0
;7560;56;76;-480;-64
;7623;52;76;-480;-64
;7686;49;76;-480;-64
;7749;41;76;-480;-64
;7812;38;76;0;-64
;7875;38;76;0;-541
;7938;38;72;0;-541
;8001;38;65;0;-541
;8064;38;61;0;-541
;8127;38;57;0;-541
;8190;38;54;0;-430
;8253;38;46;0;-430
;8316;38;43;0;-430
;8379;38;39;0;-430
;8442;38;35;0;-430
;8505;34;32;-673;0
;8568;30;32;-673;0
;8631;26;32;-673;0
;8694;22;32;-673;39
;8757;15;32;-673;39
;8820;11;32;-502;-68
;8883;7;32;-502;-68
;8946;0;32;-502;-68
;9009;-3;32;-502;-68
;9072;-7;32;-502;-68
;9135;-8;29;0;-460
;9198;-8;26;0;-460
;9261;-8;18;0;-460
;9324;-8;15;0;-460
;9387;-8;11;0;-460
;9450;-8;7;0;-370
;9513;-8;0;0;-370
;9576;-8;-3;0;-370
;9639;-8;-6;0;-370
;9702;-8;-10;0;-370
;9765;-13;-13;-464;0
;9828;-17;-13;-464;0
;9891;-21;-13;-464;0
;9954;-25;-13;-464;0
;10017;-32;-13;-397;-55
;10080;-36;-13;-397;-55
;10143;-40;-13;-397;-55
;10206;-44;-13;-397;-55
;10269;-51;-13;-397;-55
;10332;-55;-13;0;-380
;10395;-55;-16;0;-380
;10458;-55;-20;0;-380
;10521;-55;-27;0;-380
;10584;-55;-31;0;-380
;10647;-55;-34;0;-380
;10710;-55;-42;0;-352
;10773;-55;-45;0;-352
;10836;-55;-49;0;-352
;10899;-55;-52;0;-352
;10962;-58;-57;-284;-55
;11025;-62;-57;-284;-55
;11088;-66;-57;-284;-55
;11151;-70;-57;-284;-55
;11214;-73;-57;-284;-55
;11277;-81;-57;-372;-74
;11340;-85;-57;-372;-74
;11403;-89;-57;-372;-74
;11466;-92;-57;-372;-74
;11529;-100;-57;-372;-74
;11592;-102;-59;0;-454
;11655;-102;-62;0;-454
;11718;-99;-71;165;-454
;11781;-96;-76;165;-454
;11844;-94;-80;165;-454
;11907;-91;-84;165;-287
;11970;-87;-93;0;-287
;12033;-87;-97;0;-287
;12096;-87;-100;0;-287
;12159;-87;-104;0;-287
;12222;-92;-107;-305;0
;12285;-96;-107;-305;0
;12348;-100;-107;-305;0
;12411;-103;-107;-305;0
;12474;-107;-107;-305;0
;12537;-111;-107;-104;-47
;12600;-111;-107;-104;-47
;12663;-111;-107;-104;-47
;12726;-111;-107;-104;-47
;12789;-111;-107;-104;-47
;12852;-111;-109;0;-156
;12915;-111;-112;0;-156
;12978;-111;-117;0;-156
;13041;-111;-119;0;-156
;13104;-111;-122;0;-156
;13167;-111;-123;0;-81
;13230;-111;-123;0;-81
;13293;-111;-123;0;-81
;13356;-111;-123;0;-81
;13419;-111;-123;-52;-40
;13482;-111;-123;-52;-40
;13545;-111;-123;-52;-40
;13608;-111;-123;-52;-40
;13671;-111;-123;-52;-40
;13734;-111;-123;-52;-40
;13797;-111;-123;0;-39
;13860;-111;-123;0;-39
;13923;-111;-123;0;-39
;13986;-111;-123;0;-39
;14049;-111;-123;0;0
;14112;-111;-123;0;0
;14175;-110;-123;266;0
;14238;-103;-123;266;0
;14301;-99;-123;266;0
;14364;-95;-123;266;0
;14427;-92;-123;266;0
;14490;-88;-123;289;0
;14553;-81;-123;289;0
;14616;-77;-123;289;0
;14679;-73;-123;289;0
;14742;-66;-123;198;0
;14805;-63;-123;198;0
;14868;-60;-123;198;0
;14931;-56;-123;198;0
;14994;-50;-123;198;0
;15057;-47;-123;198;0
;15120;-43;-123;199;0
;15183;-40;-123;199;0
;15246;-37;-123;199;0
;15309;-30;-123;199;0
;15372;-27;-123;199;0
;15435;-24;-123;193;0
;15498;-17;-123;193;0
;15561;-14;-123;193;0
;15624;-11;-123;193;0
;15687;-4;-123;205;0
;15750;-4;-123;205;0
;15813;1;-123;205;0
;15876;5;-123;205;0
;15939;11;-123;205;0
;16002;11;-123;205;0
;16065;18;-123;195;0
;16128;21;-123;195;0
;16191;24;-123;195;0
;16254;28;-123;195;0
;16317;34;-123;195;0
;16380;37;-123;179;0
;16443;41;-123;179;0
;16506;44;-123;179;0
;16569;50;-123;179;0
;16632;54;-123;179;0
;16695;57;-123;159;0
;16758;59;-123;159;31
;16821;64;-123;159;31
;16884;67;-123;159;31
;16947;69;-123;159;31
;17010;72;-123;133;31
;17073;76;-123;133;35
;17136;78;-123;133;35
;17199;82;-123;133;35
;17262;82;-123;133;35
;17325;86;-123;122;35
;17388;88;-123;122;41
;17451;90;-123;122;41
;17514;94;-123;122;41
;17577;96;-123;122;41
;17640;98;-123;127;41
;17703;100;-123;127;43
;17766;104;-123;127;43
;17829;106;-123;127;43
;17892;109;-123;116;43
;17955;109;-123;116;43
;18018;109;-123;116;48
;18081;109;-123;116;48
;18144;109;-123;116;48
;18207;109;-123;102;48
;18270;109;-123;102;46
;18333;109;-123;102;46
;18396;109;-123;102;46
;18459;109;-123;102;46
;18522;109;-123;153;46
;18585;112;-123;153;35
;18648;117;-123;153;35
;18711;119;-123;153;35
;18774;124;-123;110;35
;18837;124;-123;110;35
;18900;124;-123;110;35
;18963;124;-123;110;35
;19026;124;-123;110;35
;19089;124;-123;0;35
;19152;124;-123;0;35
;19215;124;-120;0;153
;19278;124;-118;0;153
;19341;124;-113;0;153
;19404;124;-110;0;153
;19467;124;-108;0;153
;19530;124;-108;0;0
;19593;124;-108;0;0
;19656;122;-108;-181;0
;19719;119;-108;-181;0
;19782;116;-108;-181;0
;19845;113;-108;-181;0
;19908;107;-108;-181;0
;19971;106;-108;-48;-83
;20034;106;-108;-48;-83
;20097;106;-108;-48;-83
;20160;106;-108;-48;-83
;20223;106;-108;-48;-83
;20286;106;-108;0;-41
;20349;106;-108;0;-41
;20412;106;-108;0;-41
;20475;106;-108;0;-41
;20538;105;-108;-184;0
;20601;102;-108;-184;0
;20664;96;-108;-184;107
;20727;93;-108;-184;107
;20790;90;-108;-184;107
;20853;83;-108;-332;107
;20916;80;-108;-332;107
;20979;76;-107;-332;390
;21042;71;-102;-332;390
;21105;62;-93;-73;390
;21168;62;-89;-73;390
;21231;62;-85;-73;390
;21294;62;-82;-73;366
;21357;62;-78;-73;366
;21420;62;-71;-73;366
;21483;62;-67;-77;366
;21546;62;-64;-77;366
;21609;62;-60;-77;366
;21672;62;-60;-77;0
;21735;62;-60;-77;0
