time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-119;0;137
252;120;-115;0;137
315;120;-113;0;137
378;120;-111;0;137
441;120;-109;0;137
504;120;-107;0;137
567;120;-107;0;118
630;120;-107;0;118
693;120;-107;0;118
756;120;-107;0;118
819;120;-107;0;85
882;120;-107;0;85
945;120;-107;0;85
1008;120;-107;0;85
1071;120;-107;0;85
1134;120;-105;0;204
1197;120;-102;0;204
1260;120;-98;0;204
1323;120;-92;0;204
1386;120;-88;0;204
1449;120;-85;0;172
1512;120;-80;0;172
1575;120;-78;0;172
1638;120;-75;0;172
1701;120;-73;0;172
1764;120;-70;0;208
1827;120;-63;0;208
1890;120;-60;0;208
1953;120;-57;0;208
2016;120;-53;0;208
2079;120;-47;0;204
2142;120;-44;0;204
2205;120;-40;0;204
2268;120;-37;0;204
2331;120;-30;0;143
2394;120;-28;0;143
2457;120;-26;0;143
2520;120;-24;0;143
2583;120;-20;0;143
2646;120;-18;0;143
2709;120;-15;0;153
2772;120;-13;0;153
2835;120;-8;0;153
2898;120;-5;0;153
2961;120;-3;0;153
3024;120;0;0;138
3087;120;3;0;138
3150;120;5;0;138
3213;120;7;0;138
3276;120;9;0;138
3339;120;10;0;120
3402;120;10;0;120
3465;120;10;0;120
3528;120;10;0;120
3591;120;11;0;148
3654;120;13;0;148
3717;120;16;0;148
3780;120;18;0;148
3843;120;23;0;148
3906;120;26;0;144
3969;120;28;0;144
4032;120;31;0;144
4095;120;35;0;144
4158;120;38;0;144
4221;120;40;0;159
4284;120;43;0;159
4347;120;48;0;159
4410;120;51;0;159
4473;120;53;0;159
4536;120;56;0;156
4599;120;61;0;156
4662;120;63;0;156
4725;120;66;0;156
4788;120;68;0;156
4851;120;73;0;153
4914;120;76;0;153
4977;120;78;0;153
5040;120;81;0;153
5103;120;86;0;153
5166;120;88;0;148
5229;120;91;0;148
5292;120;93;0;148
5355;120;98;0;148
5418;120;101;0;148
5481;120;103;0;127
5544;120;105;0;127
5607;120;109;0;127
5670;120;111;0;127
5733;120;113;0;127
5796;120;114;0;84
5859;120;114;-29;84
5922;120;114;-29;84
5985;120;114;-29;84
6048;120;114;-29;84
6111;120;114;-30;32
6174;120;114;-30;32
6237;120;114;-30;32
6300;120;114;-30;32
6363;120;114;-30;0
6426;120;114;-27;0
6489;120;114;-27;0
6552;120;114;-27;0
6615;120;114;-27;0
6678;120;114;-27;0
6741;120;114;-47;0
6804;120;114;-47;0
6867;120;114;-47;0
6930;120;114;-47;0
6993;120;114;-47;0
7056;120;114;-47;0
7119;120;114;-107;0
7182;120;114;-107;0
7245;120;114;-107;0
7308;120;114;-107;0
7371;117;114;-217;-44
7434;113;114;-217;-44
7497;109;114;-217;-44
7560;105;114;-217;-44
7623;98;114;-217;-44
7686;94;114;-239;-54
7749;90;114;-239;-54
7812;86;114;-239;-54
7875;78;114;-239;-54
7938;75;114;-239;-54
8001;72;113;0;-212
8064;72;106;0;-212
8127;72;103;0;-212
8190;72;99;0;-212
8253;72;96;0;-212
8316;72;93;0;-38
8379;72;93;0;-38
8442;72;93;0;-38
8505;72;93;0;-38
8568;72;93;0;-38
8631;72;93;-34;0
8694;72;93;-34;0
8757;72;93;-34;0
8820;72;93;-34;0
8883;72;93;0;-36
8946;72;93;0;-36
9009;72;93;0;-36
9072;72;93;0;-36
9135;72;93;0;-36
9198;72;93;0;-36
9261;72;93;-114;-106
9324;72;93;-114;-106
9387;72;93;-114;-106
9450;72;93;-114;-106
9513;72;93;-114;-106
9576;69;92;-387;-140
9639;60;87;-387;-140
9702;56;85;-387;-140
9765;51;83;-387;-140
9828;47;80;-387;-140
9891;39;79;-366;-94
9954;35;79;-366;-94
10017;31;79;-366;-94
10080;27;79;-366;-94
10143;21;78;-116;-208
10206;21;75;-116;-208
10269;21;68;-116;-208
10332;21;65;-116;-208
10395;21;62;-116;-208
10458;20;58;-130;-183
10521;18;55;-130;-183
10584;16;52;-130;-183
10647;12;45;-130;-183
10710;10;42;-130;-183
10773;8;39;-236;-79
10836;0;39;-236;-79
10899;-3;39;-236;-79
10962;-6;39;-236;-79
11025;-10;39;-236;-79
11088;-16;36;-142;-180
11151;-18;32;-142;-180
11214;-20;29;-142;-180
11277;-22;26;-142;-180
11340;-24;23;-142;-180
11403;-27;18;-111;-141
11466;-27;16;-111;-141
11529;-27;14;-111;-141
11592;-27;12;-111;-141
11655;-27;7;-111;-141
11718;-27;7;-111;-42
11781;-27;7;-113;-42
11844;-27;7;-113;-42
11907;-27;7;-113;-42
11970;-27;7;-113;-42
12033;-27;7;-113;-42
12096;-27;7;-105;-42
12159;-27;7;-105;-94
12222;-27;7;-105;-94
12285;-27;7;-105;-94
12348;-27;7;-105;-94
12411;-27;7;0;-57
12474;-27;7;0;-57
12537;-27;7;0;-57
12600;-27;7;0;-57
12663;-27;7;-76;-57
12726;-27;7;-76;-125
12789;-27;5;-76;-125
12852;-27;3;-76;-125
12915;-27;-1;-76;-125
12978;-27;-3;-270;-125
13041;-31;-4;-270;-133
13104;-35;-7;-270;-133
13167;-44;-11;-270;-133
13230;-48;-13;-270;-133
13293;-53;-15;-204;-133
13356;-56;-17;-204;-95
13419;-64;-17;-204;-95
13482;-67;-17;-204;-95
13545;-71;-17;-204;-95
13608;-75;-17;-204;-95
13671;-75;-20;0;-325
13734;-75;-24;0;-325
13797;-75;-28;0;-325
13860;-75;-31;0;-325
13923;-75;-39;-86;-325
13986;-75;-40;-86;-100
14049;-75;-40;-86;-100
14112;-75;-40;-86;-100
14175;-75;-40;-86;-100
14238;-77;-40;-183;-100
14301;-80;-40;-183;-96
14364;-83;-40;-183;-96
14427;-89;-40;-183;-96
14490;-92;-40;-183;-96
14553;-94;-40;-69;-96
14616;-94;-41;-69;-304
14679;-94;-49;-69;-304
14742;-94;-52;-69;-304
14805;-94;-56;-69;-304
14868;-94;-59;-39;-304
14931;-94;-65;-39;-153
14994;-94;-68;-39;-153
15057;-94;-70;-39;-153
15120;-94;-73;-39;-153
15183;-97;-78;-191;-66
15246;-100;-78;-191;-66
15309;-103;-78;-191;-66
15372;-106;-78;-191;-66
15435;-112;-78;-191;-66
15498;-115;-78;-96;-217
15561;-115;-81;-96;-217
15624;-115;-88;-96;-217
15687;-115;-91;-96;-217
15750;-115;-94;-96;-217
15813;-115;-98;-96;-217
15876;-115;-101;-32;-178
15939;-115;-108;-32;-178
16002;-115;-111;-32;-178
16065;-115;-117;-32;-178
16128;-117;-118;-165;-27
16191;-120;-118;-165;-27
16254;-123;-118;-165;-27
16317;-126;-118;-165;-27
16380;-131;-118;-165;-27
16443;-132;-118;-34;0
16506;-132;-118;-34;0
16569;-132;-118;-34;0
16632;-132;-118;-34;0
16695;-132;-118;-34;0
16758;-132;-118;0;0
17766;-132;-118;74;-66
17829;-132;-118;203;-66
17892;-126;-118;203;-66
17955;-123;-118;203;-66
18018;-120;-118;203;-95
18081;-116;-118;203;-95
18144;-110;-118;313;-95
18207;-106;-118;313;-95
18270;-102;-118;313;-95
18333;-99;-118;313;-53
18396;-91;-118;313;-53
18459;-88;-118;153;-53
18522;-86;-118;153;-53
18585;-83;-118;153;-53
18648;-78;-118;153;-79
18711;-76;-118;153;-79
18774;-75;-118;109;-79
18837;-75;-118;109;-79
18900;-75;-118;109;-79
18963;-75;-118;109;-61
19026;-75;-118;109;-61
19089;-74;-118;123;-61
19152;-70;-118;123;-61
19215;-68;-118;123;-90
19278;-66;-118;123;-90
19341;-64;-118;123;-90
19404;-59;-118;275;-90
19467;-56;-118;275;-90
19530;-52;-118;275;-74
19593;-49;-118;275;-74
19656;-41;-118;275;-74
19719;-38;-118;216;-74
19782;-34;-118;216;-74
19845;-31;-118;216;-84
19908;-28;-118;216;-84
19971;-21;-118;216;-84
20034;-18;-118;180;-84
20097;-11;-118;180;-84
20160;-11;-118;180;-84
20223;-5;-118;180;-81
20286;-2;-118;180;-81
20349;4;-118;180;-81
20412;4;-118;180;-81
20475;9;-118;152;-80
20538;12;-118;152;-80
20601;14;-118;152;-80
20664;19;-118;152;-80
20727;21;-118;152;-80
20790;24;-118;152;-81
20853;26;-118;152;-81
20916;31;-118;152;-81
20979;34;-118;152;-81
21042;36;-118;149;-81
21105;39;-118;149;-86
21168;41;-118;149;-86
21231;46;-118;149;-86
21294;49;-118;149;-86
21357;53;-118;137;-89
21420;55;-118;137;-89
21483;57;-118;137;-89
21546;59;-118;137;-89
21609;61;-118;137;-89
21672;65;-118;123;-82
21735;67;-118;123;-82
21798;69;-118;123;-82
21861;71;-118;123;-82
21924;75;-118;119;-82
21987;75;-118;119;-78
22050;75;-118;119;-78
22113;75;-118;119;-78
22176;75;-118;119;-78
22239;75;-118;119;-78
22302;77;-118;143;-78
22365;79;-118;143;-87
22428;83;-118;143;-87
22491;86;-118;143;-87
22554;88;-118;143;-87
22617;91;-118;183;-87
22680;94;-118;183;-87
22743;100;-118;183;-87
22806;104;-118;183;-87
22869;109;-118;136;-87
22932;109;-118;136;-87
22995;113;-118;136;-99
23058;115;-118;136;-99
23121;119;-118;136;-99
23184;121;-118;77;-99
23247;121;-118;77;-93
23310;121;-118;77;-93
23373;121;-118;77;-93
23436;121;-118;77;-93
23499;121;-118;0;-93
23562;121;-118;0;-43
24759;121;-118;-63;0
24822;119;-118;-154;0
24885;117;-118;-154;0
24948;112;-118;-154;0
25011;110;-118;-154;67
25074;107;-118;-154;67
25137;102;-118;-155;67
25200;102;-118;-155;67
25263;98;-118;-155;67
25326;95;-116;-155;250
25389;93;-112;-155;250
25452;89;-102;-52;250
25515;89;-97;-52;250
25578;89;-93;-52;250
25641;89;-90;-52;0
25704;89;-90;-52;0
25767;89;-90;0;0
25830;89;-90;0;0
25893;89;-90;0;93
25956;89;-90;0;93
26019;89;-90;0;93
26082;89;-90;-123;93
26145;87;-90;-123;93
26208;83;-89;-123;154
26271;81;-87;-123;154
26334;79;-85;-123;154
26397;77;-82;-138;154
26460;73;-77;-138;154
26523;71;-75;-138;114
26586;69;-74;-138;114
26649;66;-74;-138;114
26712;64;-74;-119;114
26775;64;-74;-119;114
26838;64;-74;-119;114
26901;64;-73;-119;137
26964;64;-69;-119;137
27027;62;-67;-148;137
27090;59;-65;-148;137
27153;57;-63;-148;137
27216;52;-57;-148;189
27279;50;-53;-148;189
27342;47;-50;-140;189
27405;43;-44;-140;189
27468;43;-44;-140;189
27531;38;-42;-140;94
27594;36;-42;-140;94
27657;31;-42;-150;94
27720;31;-42;-150;94
27783;27;-41;-150;188
27846;24;-37;-150;188
27909;22;-34;-150;188
27972;17;-28;-131;188
28035;16;-24;-131;188
28098;14;-21;-131;127
28161;12;-19;-131;127
28224;7;-15;-127;127
28287;5;-13;-127;127
28350;3;-11;-127;127
28413;0;-9;-127;81
28476;-2;-9;-127;81
28539;-4;-9;-124;81
28602;-6;-9;-124;81
28665;-8;-9;-124;81
28728;-10;-9;-124;172
28791;-14;-4;-124;172
28854;-15;0;-96;172
28917;-15;3;-96;172
28980;-15;3;-96;172
29043;-15;8;-96;156
29106;-15;10;-96;156
29169;-15;13;-96;156
29232;-15;18;-103;156
29295;-15;20;-103;156
29358;-15;22;-103;124
29421;-15;24;-103;124
29484;-15;28;-114;124
29547;-15;30;-114;124
29610;-15;32;-114;124
29673;-15;34;-114;123
29736;-15;38;-114;123
29799;-17;40;-139;123
29862;-19;42;-139;123
29925;-23;46;-139;62
29988;-25;46;-139;62
30051;-28;46;-139;62
30114;-30;46;-382;62
30177;-38;46;-382;62
30240;-42;46;-382;0
30303;-46;46;-382;0
30366;-49;46;-382;0
30429;-56;46;-184;0
30492;-56;46;-184;0
30555;-62;46;-184;100
30618;-65;46;-184;100
30681;-71;46;-192;100
30744;-74;46;-192;100
30807;-77;46;-192;100
30870;-80;46;-192;106
30933;-85;46;-192;106
30996;-88;46;-192;106
31059;-91;46;-182;106
31122;-94;46;-182;106
31185;-100;48;-182;138
31248;-103;50;-182;138
31311;-107;52;-182;138
31374;-107;54;-93;138
31437;-107;56;-93;138
31500;-107;61;-93;181
31563;-107;64;-93;181
31626;-107;67;-93;181
31689;-107;70;-46;181
31752;-107;77;-46;181
31815;-107;80;-46;146
31878;-107;85;-46;146
31941;-107;85;-46;146
32004;-107;87;-70;146
32067;-107;92;-70;146
32130;-107;95;-70;148
32193;-107;97;-70;148
32256;-107;99;-70;148
32319;-107;104;-72;148
32382;-107;109;-72;144
32445;-107;112;-72;144
32508;-107;114;-72;144
32571;-107;117;-90;144
32634;-107;119;-90;144
32697;-107;122;-90;144
32760;-107;126;-90;0
32823;-107;126;-90;0
32886;-108;126;-293;-27
32949;-112;126;-293;-27
33012;-119;126;-293;-27
33075;-123;126;-293;-27
33138;-127;126;-293;-27
33201;-131;126;-202;-57
33264;-134;126;-202;-57
33327;-142;126;-202;-57
33390;-145;126;-202;-57
33453;-153;126;-202;-57
33516;-154;126;0;-35
33579;-154;126;0;-35
33642;-154;126;0;-35
33705;-154;126;0;-35
33768;-154;126;0;-35
33831;-154;126;0;0
33894;-154;126;0;0
33957;-154;126;0;0
34965;-154;126;73;0
35028;-150;126;210;0
35091;-147;126;210;0
41895;-146;126;51;-86
41958;-146;126;51;-86
42021;-146;126;51;-38
42084;-146;126;51;-38
42147;-146;126;51;-38
42210;-146;126;0;-38
42273;-146;126;0;-38
42336;-146;126;0;-38
42399;-146;126;0;0
42462;-146;126;0;0
42525;-146;126;0;0
42588;-146;126;0;0
42651;-146;125;0;-266
42714;-146;121;0;-266
42777;-146;114;0;-266
42840;-146;110;0;-266
42903;-146;106;0;-266
42966;-146;103;0;-180
43029;-146;100;0;-180
43092;-146;96;0;-180
43155;-146;90;0;-180
43218;-146;86;0;-180
43281;-146;83;0;-195
43344;-146;80;0;-195
43407;-146;73;0;-195
43470;-146;70;0;-195
43533;-146;63;0;-258
43596;-146;58;0;-258
43659;-146;53;0;-258
43722;-146;48;0;-258
43785;-146;44;0;-258
43848;-146;34;0;-206
43911;-146;31;0;-206
43974;-146;27;0;-206
44037;-146;24;0;-206
44100;-146;17;0;-206
44163;-146;14;0;-206
44226;-146;11;0;-184
44289;-146;4;0;-184
44352;-146;1;0;-184
44415;-146;-1;0;-184
44478;-146;-8;0;-189
44541;-146;-11;0;-189
44604;-146;-15;0;-189
44667;-146;-18;0;-189
44730;-146;-21;0;-189
44793;-146;-28;0;-174
44856;-146;-30;0;-174
44919;-146;-33;0;-174
44982;-146;-36;0;-174
45045;-146;-41;0;-174
45108;-146;-44;0;-137
45171;-146;-46;0;-137
45234;-146;-48;0;-137
45297;-146;-50;0;-137
45360;-146;-54;0;-137
45423;-146;-56;0;-141
45486;-146;-58;0;-141
45549;-146;-60;0;-141
45612;-146;-64;0;-141
45675;-146;-66;0;-141
45738;-146;-69;0;-146
45801;-146;-71;0;-146
45864;-146;-76;0;-146
45927;-146;-79;0;-146
45990;-146;-81;0;-146
46053;-146;-84;0;-133
46116;-146;-86;0;-133
46179;-146;-90;0;-133
46242;-146;-92;0;-133
46305;-146;-94;0;-133
46368;-146;-98;0;-123
46431;-146;-100;0;-123
46494;-146;-102;0;-123
46557;-146;-104;0;-123
46620;-146;-108;0;-123
46683;-146;-110;0;-127
46746;-146;-112;0;-127
46809;-146;-116;0;-127
46872;-146;-118;0;-127
46935;-146;-120;0;-127
46998;-146;-121;0;-100
47061;-146;-121;0;-100
47124;-146;-121;0;-100
47187;-146;-121;0;-100
47250;-146;-121;0;-100
47313;-146;-121;0;-62
47376;-146;-121;0;-62
47439;-146;-121;0;-62
47502;-146;-121;0;-62
47565;-146;-121;0;-62
47628;-146;-121;0;-39
47691;-146;-121;0;-39
47754;-146;-121;0;-39
