time;x;y;fx;fy
63;120;-120;116;93
126;123;-120;116;93
189;125;-120;121;92
252;126;-120;121;92
315;128;-120;121;92
378;131;-120;121;92
441;133;-120;121;92
504;135;-120;119;91
567;136;-120;119;91
630;139;-120;119;91
693;140;-120;119;91
756;142;-120;119;91
819;143;-120;108;89
882;143;-120;108;89
945;143;-120;108;89
1008;143;-120;108;89
1071;143;-120;108;89
1134;143;-120;109;93
1197;143;-120;109;93
1260;143;-120;109;93
1323;143;-120;109;93
1386;143;-120;106;100
1449;143;-120;106;100
1512;143;-120;106;100
1575;143;-120;106;100
1638;143;-120;106;100
1701;143;-119;90;118
1764;143;-118;90;118
1827;143;-116;90;118
1890;143;-113;90;118
1953;143;-112;90;118
2016;143;-110;65;125
2079;143;-109;65;125
2142;143;-105;65;125
2205;143;-104;65;125
2268;143;-102;65;125
2331;143;-100;65;125
2394;143;-96;43;154
2457;143;-94;43;154
2520;143;-92;43;154
2583;143;-90;43;154
2646;143;-86;31;154
2709;143;-84;31;173
2772;143;-81;31;173
2835;143;-78;31;173
2898;143;-73;31;173
2961;143;-71;37;173
3024;143;-68;37;190
3087;143;-65;37;190
3150;143;-59;37;190
3213;143;-56;37;190
3276;143;-53;58;190
3339;143;-50;58;236
3402;143;-44;58;236
3465;143;-40;58;236
3528;143;-37;58;236
3591;143;-34;77;236
3654;143;-30;77;242
3717;143;-23;77;242
3780;143;-19;77;242
3843;143;-16;77;242
3906;143;-8;76;137
3969;143;-6;76;137
4032;143;-4;76;137
4095;143;-2;76;137
4158;143;1;87;137
4221;143;3;87;182
4284;143;5;87;182
4347;143;8;87;182
4410;143;13;87;182
4473;143;15;87;182
4536;143;18;57;182
4599;143;18;57;70
4662;143;18;57;70
4725;143;18;57;70
4788;143;18;57;70
4851;143;18;35;70
4914;143;23;35;166
4977;143;25;35;166
5040;143;28;35;166
5103;143;30;35;166
5166;143;33;61;166
5229;143;38;61;185
5292;143;40;61;185
5355;143;43;61;185
5418;143;45;61;185
5481;143;50;50;142
5544;143;52;50;142
5607;143;54;50;142
5670;143;56;50;142
5733;143;60;53;142
5796;143;62;53;161
5859;143;65;53;161
5922;143;67;53;161
5985;143;72;53;161
6048;143;75;54;161
6111;143;77;54;132
6174;143;79;54;132
6237;143;82;54;132
6300;143;84;54;132
6363;143;86;53;132
6426;143;87;53;127
6489;143;91;53;127
6552;143;92;53;127
6615;143;94;53;127
6678;143;96;53;127
6741;143;99;54;136
6804;143;101;54;136
6867;143;103;54;136
6930;143;105;54;136
6993;143;109;51;136
7056;143;111;51;112
7119;143;112;51;112
7182;143;114;51;112
7245;143;117;51;112
7308;143;118;55;112
7371;143;119;55;84
7434;143;119;55;84
7497;143;119;55;84
7560;143;119;55;84
7623;143;119;-38;-53
7686;140;119;-122;-53
7749;138;119;-122;-53
7812;137;119;-122;-53
7875;135;119;-122;-53
7938;130;119;-316;-109
8001;127;119;-316;-109
8064;123;119;-316;-109
8127;119;119;-316;-109
8190;111;117;-316;-474
8253;109;112;-67;-474
8316;109;109;-67;-474
8379;109;105;-67;-474
8442;109;98;-67;-474
8505;109;94;-67;-412
8568;108;90;-115;-412
8631;107;86;-115;-412
8694;104;78;-115;-412
8757;103;74;-115;-412
8820;101;70;-115;-260
8883;99;65;-367;-260
8946;92;59;-367;-260
9009;89;55;-367;-260
9072;85;52;-367;-260
9135;78;45;-194;-225
9198;75;42;-194;-225
